"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"38",0,8,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",1299,394,63.74,2.5,275.84,50.92,22846,1
"39",0,8,"EV","ExpressJet Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",3095,404,97,0,94.24,212.77,27354,0
"40",0,8,"EV","ExpressJet Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",216,77,26.68,0,18.92,31.41,5055,0
"41",0,8,"EV","ExpressJet Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",1067,246,69.17,0,57.11,119.72,17083,0
"42",0,8,"EV","ExpressJet Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",3540,453,66.1,14.36,189.52,183.02,38675,0
"43",0,8,"EV","ExpressJet Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",1987,291,58.99,6.19,134.34,91.48,29341,0
"44",0,8,"F9","Frontier Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",318,66,12.61,0.18,18.44,34.78,4762,0
"45",0,8,"F9","Frontier Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",92,25,8.03,0,5.89,11.08,1850,0
"46",0,8,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",2024,402,68.98,3.74,165.61,163.67,26359,0
"47",0,8,"F9","Frontier Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",62,11,4.31,0.02,6.67,0,756,0
"48",0,8,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",139,28,6.44,0,17.56,4,1975,0
"49",0,8,"F9","Frontier Airlines Inc.","LAS","Las Vegas, NV: McCarran International",678,143,42.92,0.37,37.69,62.03,8196,0
"50",0,8,"F9","Frontier Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",195,53,14.78,1,22.8,14.41,3612,0
"51",0,8,"F9","Frontier Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",260,61,11.58,2.44,22.45,24.53,5708,0
